business_date,close_price,high_price,low_price,total_traded_quantity,total_traded_value,total_trades,day,month,weekday,volume_class,anomaly_label,year,year_month,week,prev_total_trades,avg_traded_qty_3
2025-06-29,1204.43,1217.7,1200.0,11750,14136911.9,171,29,6,6,0,0,2025,2025-06,26,,
2025-06-26,1202.08,1220.0,1201.0,9229,11163083.7,169,26,6,3,0,0,2025,2025-06,26,171.0,
2025-06-25,1210.3,1229.9,1205.0,7860,9509528.1,132,25,6,2,0,0,2025,2025-06,26,169.0,9613.0
2025-06-24,1212.55,1225.0,1206.0,8086,9802899.4,151,24,6,1,0,0,2025,2025-06,26,132.0,8391.666666666666
2025-06-23,1206.36,1225.0,1201.1,9899,11988985.7,141,23,6,0,0,0,2025,2025-06,26,151.0,8615.0
2025-06-22,1212.74,1229.9,1210.0,10785,13114047.5,190,22,6,6,0,0,2025,2025-06,25,141.0,9590.0
2025-06-19,1216.32,1243.0,1215.2,22379,27337032.1,196,19,6,3,0,0,2025,2025-06,25,190.0,14354.333333333334
2025-06-18,1221.15,1241.0,1220.0,12626,15471268.9,180,18,6,2,0,0,2025,2025-06,25,196.0,15263.333333333334
2025-06-17,1231.95,1245.0,1220.1,16653,20479271.7,167,17,6,1,0,0,2025,2025-06,25,180.0,17219.333333333332
2025-06-16,1229.77,1244.0,1194.6,21740,26483028.6,258,16,6,0,0,0,2025,2025-06,25,167.0,17006.333333333332
2025-06-15,1215.13,1234.0,1211.0,13589,16603614.9,227,15,6,6,0,0,2025,2025-06,24,258.0,17327.333333333332
2025-06-12,1224.08,1235.0,1220.0,21767,26657346.0,300,12,6,3,0,0,2025,2025-06,24,227.0,19032.0
2025-06-11,1235.86,1267.0,1235.0,8129,10123658.9,161,11,6,2,0,0,2025,2025-06,24,300.0,14495.0
2025-06-10,1260.78,1275.0,1250.0,14039,17744512.7,228,10,6,1,0,0,2025,2025-06,24,161.0,14645.0
2025-06-09,1249.82,1260.0,1213.0,21565,26606777.9,270,9,6,0,0,0,2025,2025-06,24,228.0,14577.666666666666
2025-06-08,1218.06,1233.0,1212.1,8621,10518468.5,167,8,6,6,0,0,2025,2025-06,23,270.0,14741.666666666666
2025-06-05,1227.11,1240.0,1223.1,10770,13221589.2,163,5,6,3,0,0,2025,2025-06,23,167.0,13652.0
2025-06-04,1226.65,1240.0,1222.0,6621,8134621.7,127,4,6,2,0,0,2025,2025-06,23,163.0,8670.666666666666
2025-06-03,1232.52,1250.0,1230.0,12353,15273491.6,172,3,6,1,0,0,2025,2025-06,23,127.0,9914.666666666666
2025-06-02,1248.99,1266.0,1241.1,12403,15541168.3,222,2,6,0,0,0,2025,2025-06,23,172.0,10459.0
2025-05-28,1235.67,1259.2,1198.0,12899,15936336.0,214,28,5,2,0,0,2025,2025-05,22,222.0,12551.666666666666
2025-05-27,1234.6,1255.0,1230.0,14535,17971366.5,197,27,5,1,0,0,2025,2025-05,22,214.0,13279.0
2025-05-26,1242.97,1297.0,1240.0,11033,13822487.9,173,26,5,0,0,0,2025,2025-05,22,197.0,12822.333333333334
2025-05-25,1246.7,1283.7,1240.0,9846,12323711.9,181,25,5,6,0,0,2025,2025-05,21,173.0,11804.666666666666
2025-05-22,1258.56,1290.0,1255.0,8281,10473483.2,163,22,5,3,0,0,2025,2025-05,21,181.0,9720.0
2025-05-21,1268.38,1363.7,1260.2,33527,43603272.9,375,21,5,2,1,0,2025,2025-05,21,163.0,17218.0
2025-05-20,1285.47,1300.0,1235.0,13374,17044090.0,222,20,5,1,0,0,2025,2025-05,21,375.0,18394.0
2025-05-19,1253.05,1277.9,1230.0,17093,21502637.4,242,19,5,0,0,0,2025,2025-05,21,222.0,21331.333333333332
2025-05-18,1228.19,1244.0,1221.0,15239,18763180.3,197,18,5,6,0,0,2025,2025-05,20,242.0,15235.333333333334
2025-05-15,1225.0,1256.4,1223.0,18469,22715675.0,247,15,5,3,0,0,2025,2025-05,20,197.0,16933.666666666668
2025-05-14,1231.86,1244.9,1230.0,17752,21915500.3,250,14,5,2,0,0,2025,2025-05,20,247.0,17153.333333333332
2025-05-13,1236.47,1265.0,1231.0,24341,30234636.3,346,13,5,1,0,0,2025,2025-05,20,250.0,20187.333333333332
2025-05-11,1250.96,1280.0,1248.0,24903,31388333.0,291,11,5,6,0,0,2025,2025-05,19,346.0,22332.0
2025-05-08,1267.17,1300.0,1260.0,22794,29139611.6,338,8,5,3,0,0,2025,2025-05,19,291.0,24012.666666666668
2025-05-07,1295.54,1322.9,1253.0,25635,33018377.9,353,7,5,2,0,0,2025,2025-05,19,338.0,24444.0
2025-05-06,1273.19,1290.0,1270.0,17488,22314576.6,302,6,5,1,0,0,2025,2025-05,19,353.0,21972.333333333332
2025-05-05,1288.47,1300.1,1280.0,15600,20120428.7,211,5,5,0,0,0,2025,2025-05,19,302.0,19574.333333333332
2025-05-04,1286.12,1317.9,1285.0,26329,34041964.3,325,4,5,6,0,0,2025,2025-05,18,211.0,19805.666666666668
2025-04-30,1297.02,1319.9,1293.6,26763,34899516.2,413,30,4,2,0,0,2025,2025-04,18,325.0,22897.333333333332
2025-04-29,1311.01,1328.0,1306.6,36947,48735052.8,441,29,4,1,1,0,2025,2025-04,18,413.0,30013.0
2025-04-28,1333.25,1382.0,1330.0,22148,29794751.4,286,28,4,0,0,0,2025,2025-04,18,441.0,28619.333333333332
2025-04-27,1355.49,1400.0,1350.0,38326,52787630.1,438,27,4,6,1,0,2025,2025-04,17,286.0,32473.666666666668
2025-04-24,1378.11,1392.0,1316.0,29297,39518517.2,378,24,4,3,0,0,2025,2025-04,17,438.0,29923.666666666668
2025-04-23,1322.99,1353.9,1310.0,32506,43011311.2,446,23,4,2,1,0,2025,2025-04,17,378.0,33376.333333333336
2025-04-22,1346.25,1387.0,1335.0,35087,47473096.0,390,22,4,1,1,0,2025,2025-04,17,446.0,32296.666666666668
2025-04-21,1373.15,1400.0,1353.5,25729,35303093.7,321,21,4,0,0,0,2025,2025-04,17,390.0,31107.333333333332
2025-04-20,1381.09,1439.9,1375.1,33311,46369943.3,441,20,4,6,1,0,2025,2025-04,16,321.0,31375.666666666668
2025-04-17,1418.07,1459.0,1400.0,49654,71406971.6,522,17,4,3,1,0,2025,2025-04,16,441.0,36231.333333333336
2025-04-16,1415.74,1469.8,1402.0,27913,39894459.6,350,16,4,2,0,0,2025,2025-04,16,522.0,36959.333333333336
2025-04-15,1441.37,1456.0,1367.0,82681,118174156.6,911,15,4,1,1,0,2025,2025-04,16,350.0,53416.0
2025-04-13,1368.77,1389.0,1356.0,30187,41283360.8,362,13,4,6,0,0,2025,2025-04,15,911.0,46927.0
2025-04-10,1376.22,1398.9,1367.0,24467,33708444.4,285,10,4,3,0,0,2025,2025-04,15,362.0,45778.333333333336
2025-04-09,1384.39,1400.0,1315.0,38715,53477954.4,393,9,4,2,1,0,2025,2025-04,15,285.0,31123.0
2025-04-08,1339.61,1348.8,1300.1,27251,36027035.1,359,8,4,1,0,0,2025,2025-04,15,393.0,30144.333333333332
2025-04-07,1339.03,1380.0,1335.3,43956,59550007.7,538,7,4,0,1,0,2025,2025-04,15,359.0,36640.666666666664
2025-04-03,1378.32,1437.0,1370.1,57061,80001643.6,635,3,4,3,1,0,2025,2025-04,14,538.0,42756.0
2025-04-02,1396.46,1401.0,1287.0,74922,102719829.1,816,2,4,2,1,0,2025,2025-04,14,635.0,58646.333333333336
2025-04-01,1307.65,1334.0,1276.0,50954,66518456.6,484,1,4,1,1,0,2025,2025-04,14,816.0,60979.0
2025-03-30,1323.11,1346.0,1280.0,38228,50730963.1,510,30,3,6,1,0,2025,2025-03,13,484.0,54701.333333333336
2025-03-27,1300.63,1305.0,1240.0,31674,40476618.9,381,27,3,3,0,0,2025,2025-03,13,510.0,40285.333333333336
2025-03-26,1252.71,1279.9,1195.0,28107,34629187.8,366,26,3,2,0,0,2025,2025-03,13,381.0,32669.666666666668
2025-03-25,1199.15,1260.0,1194.9,37004,44898154.4,568,25,3,1,1,0,2025,2025-03,13,366.0,32261.666666666668
2025-03-24,1257.85,1304.0,1253.0,49128,62455571.3,667,24,3,0,1,0,2025,2025-03,13,568.0,38079.666666666664
2025-03-23,1282.83,1331.1,1279.0,36890,47919053.6,490,23,3,6,1,0,2025,2025-03,12,667.0,41007.333333333336
2025-03-20,1328.5,1340.0,1315.0,14434,19160293.1,206,20,3,3,0,0,2025,2025-03,12,490.0,33484.0
2025-03-19,1327.0,1344.0,1304.0,14931,19747307.6,234,19,3,2,0,0,2025,2025-03,12,206.0,22085.0
2025-03-18,1318.0,1353.0,1313.0,33899,45011610.1,446,18,3,1,1,0,2025,2025-03,12,234.0,21088.0
2025-03-17,1339.0,1360.0,1320.0,27886,37376039.2,356,17,3,0,0,0,2025,2025-03,12,446.0,25572.0
2025-03-16,1345.0,1380.0,1336.1,25085,33937946.0,387,16,3,6,0,0,2025,2025-03,11,356.0,28956.666666666668
2025-03-12,1392.0,1409.0,1340.0,34591,47871038.5,392,12,3,2,1,0,2025,2025-03,11,387.0,29187.333333333332
2025-03-11,1359.9,1432.9,1351.0,28254,38914805.7,460,11,3,1,0,0,2025,2025-03,11,392.0,29310.0
2025-03-10,1405.0,1450.0,1400.0,32581,46068469.7,426,10,3,0,1,0,2025,2025-03,11,460.0,31808.666666666668
2025-03-09,1434.0,1470.0,1403.2,99738,143676264.0,1103,9,3,6,1,0,2025,2025-03,10,426.0,53524.333333333336
2025-03-06,1490.0,1518.0,1488.0,27044,40515592.5,396,6,3,3,0,0,2025,2025-03,10,1103.0,53121.0
2025-03-05,1500.0,1539.0,1496.1,32789,49524339.4,453,5,3,2,1,0,2025,2025-03,10,396.0,53190.333333333336
2025-03-04,1512.0,1565.0,1505.0,60429,92767027.4,677,4,3,1,1,0,2025,2025-03,10,453.0,40087.333333333336
2025-03-03,1549.0,1600.0,1545.0,46062,71983273.9,588,3,3,0,1,0,2025,2025-03,10,677.0,46426.666666666664
2025-03-02,1575.0,1580.0,1511.3,63071,97872626.2,709,2,3,6,1,0,2025,2025-03,9,588.0,56520.666666666664
